country,medal.type,count
South Korea,gold,13
Italy,gold,8
France,gold,11
Australia,gold,7
Japan,gold,7
Germany,gold,11
Great Britain & N. Ireland,gold,29
Russian Federation,gold,24
China,gold,38
United States,gold,46
South Korea,silver,8
Italy,silver,9
France,silver,11
Australia,silver,16
Japan,silver,14
Germany,silver,19
Great Britain & N. Ireland,silver,17
Russian Federation,silver,26
China,silver,27
United States,silver,29
South Korea,bronze,7
Italy,bronze,11
France,bronze,12
Australia,bronze,12
Japan,bronze,17
Germany,bronze,14
Great Britain & N. Ireland,bronze,19
Russian Federation,bronze,32
China,bronze,23
United States,bronze,29
