subid,presentation.time,subjective.test,objective.test
1,1700,0,0.587
2,2000,0,0.563
3,1700,1,0.855
4,2000,0,0.524
5,1700,0,0.438
6,2000,0,0.667
7,1700,1,0.906
8,2000,1,0.656
9,1700,1,0.578
10,2000,1,0.969
11,1700,1,0.641
12,2000,0,0.611
13,1700,0,0.469
14,2000,1,0.921
15,1700,1,0.629
16,2000,0,0.469
17,1700,0,0.556
18,2000,1,0.516
19,1700,0,0.531
20,2000,1,0.778
21,1700,0,0.571
22,2000,0,0.623
23,1700,1,0.952
24,2000,0,0.484
25,1700,1,0.825
26,2000,1,1.000
27,1700,1,1.000
28,2000,1,0.617
29,1700,0,0.547
30,2000,0,0.532
31,1700,0,0.524
32,2000,1,0.984
33,1700,1,0.438
34,2000,0,0.359
35,1700,1,0.797
36,2000,0,0.578
37,1700,0,0.922
38,2000,1,0.625
39,1700,1,0.516
40,2000,0,0.438
41,2000,0,0.406
42,2000,1,0.625
